DataStructure,Dimension,K,N,Time
KDTree,2,1000,600100,0.0593595
KDTree,2,10,650100,0.00287582
KDTree,2,100,650100,0.0158709
KDTree,2,1000,650100,0.0601363
KDTree,2,10,700100,0.00373732
KDTree,2,100,700100,0.0195021
KDTree,2,1000,700100,0.0753588
KDTree,2,10,750100,0.00348554
KDTree,2,100,750100,0.0185464
KDTree,2,1000,750100,0.0718521
KDTree,2,10,800100,0.00341661
KDTree,2,100,800100,0.0188335
KDTree,2,1000,800100,0.0711449
KDTree,2,10,850100,0.0033462
KDTree,2,100,850100,0.0183316
KDTree,2,1000,850100,0.0732053
KDTree,2,10,900100,0.00330272
KDTree,2,100,900100,0.0182026
KDTree,2,1000,900100,0.0710886
KDTree,2,10,950100,0.00360617
KDTree,2,100,950100,0.0191446
KDTree,2,1000,950100,0.0736628
Buckets,2,10,100,2.78422e-05
Buckets,2,10,50100,0.0105602
Buckets,2,100,50100,0.0105383
Buckets,2,1000,50100,0.0108397
Buckets,2,10,100100,0.0182928
Buckets,2,100,100100,0.0183698
Buckets,2,1000,100100,0.0183794
Buckets,2,10,150100,0.0311274
Buckets,2,100,150100,0.0311698
Buckets,2,1000,150100,0.0311689
Buckets,2,10,200100,0.0411125
Buckets,2,100,200100,0.0411771
Buckets,2,1000,200100,0.0412308
Buckets,2,10,250100,0.0547088
Buckets,2,100,250100,0.054784
Buckets,2,1000,250100,0.0546581
Buckets,2,10,300100,0.0567239
Buckets,2,100,300100,0.056774
Buckets,2,1000,300100,0.0568362
Buckets,2,10,350100,0.0743634
Buckets,2,100,350100,0.0743579
Buckets,2,1000,350100,0.0742616
Buckets,2,10,400100,0.0753509
Buckets,2,100,400100,0.0752853
Buckets,2,1000,400100,0.0754546
Buckets,2,10,450100,0.0804317
Buckets,2,100,450100,0.0802524
Buckets,2,1000,450100,0.0847497
Buckets,2,10,500100,0.114973
Buckets,2,100,500100,0.112929
Buckets,2,1000,500100,0.112836
Buckets,2,10,550100,0.0986206
Buckets,2,100,550100,0.0986787
Buckets,2,1000,550100,0.0991406
Buckets,2,10,600100,0.13263
Buckets,2,100,600100,0.132602
Buckets,2,1000,600100,0.132855
Buckets,2,10,650100,0.125566
Buckets,2,100,650100,0.125409
Buckets,2,1000,650100,0.125478
Buckets,2,10,700100,0.146228
Buckets,2,100,700100,0.146129
Buckets,2,1000,700100,0.146157
Buckets,2,10,750100,0.166457
Buckets,2,100,750100,0.166594
Buckets,2,1000,750100,0.166911
Buckets,2,10,800100,0.143438
Buckets,2,100,800100,0.143379
Buckets,2,1000,800100,0.143462
Buckets,2,10,850100,0.164077
Buckets,2,100,850100,0.163824
